task_name,layer,score
wh_vs_that_with_gap_long_distance,4,0.027
wh_vs_that_with_gap_long_distance,5,0.082
wh_vs_that_with_gap_long_distance,6,0.318
wh_vs_that_with_gap_long_distance,7,0.447
wh_vs_that_with_gap_long_distance,8,0.28
wh_vs_that_with_gap_long_distance,9,0.29
wh_vs_that_with_gap_long_distance,10,0.436
wh_vs_that_with_gap_long_distance,11,0.43
wh_vs_that_with_gap_long_distance,12,0.304
determiner_noun_agreement_irregular_1,0,0.54
determiner_noun_agreement_irregular_1,1,0.501
determiner_noun_agreement_irregular_1,2,0.58
determiner_noun_agreement_irregular_1,3,0.727
determiner_noun_agreement_irregular_1,4,0.803
determiner_noun_agreement_irregular_1,5,0.811
determiner_noun_agreement_irregular_1,6,0.814
determiner_noun_agreement_irregular_1,7,0.819
determiner_noun_agreement_irregular_1,8,0.807
determiner_noun_agreement_irregular_1,9,0.867
determiner_noun_agreement_irregular_1,10,0.901
determiner_noun_agreement_irregular_1,11,0.898
determiner_noun_agreement_irregular_1,12,0.769
determiner_noun_agreement_2,0,0.49
determiner_noun_agreement_2,1,0.49
determiner_noun_agreement_2,2,0.615
determiner_noun_agreement_2,3,0.762
determiner_noun_agreement_2,4,0.948
determiner_noun_agreement_2,5,0.957
determiner_noun_agreement_2,6,0.943
determiner_noun_agreement_2,7,0.949
determiner_noun_agreement_2,8,0.947
determiner_noun_agreement_2,9,0.987
determiner_noun_agreement_2,10,0.986
determiner_noun_agreement_2,11,0.984
determiner_noun_agreement_2,12,0.899
complex_NP_island,0,0.384
complex_NP_island,1,0.676
complex_NP_island,2,0.497
complex_NP_island,3,0.484
complex_NP_island,4,0.353
complex_NP_island,5,0.366
complex_NP_island,6,0.339
complex_NP_island,7,0.459
complex_NP_island,8,0.482
complex_NP_island,9,0.48
complex_NP_island,10,0.511
complex_NP_island,11,0.465
complex_NP_island,12,0.309
principle_A_c_command,0,0.509
principle_A_c_command,1,0.441
principle_A_c_command,2,0.47
principle_A_c_command,3,0.407
principle_A_c_command,4,0.424
principle_A_c_command,5,0.507
principle_A_c_command,6,0.506
principle_A_c_command,7,0.594
principle_A_c_command,8,0.693
principle_A_c_command,9,0.552
principle_A_c_command,10,0.663
principle_A_c_command,11,0.672
principle_A_c_command,12,0.429
wh_island,0,1
wh_island,1,0.991
wh_island,2,0.984
wh_island,3,0.978
wh_island,4,0.908
wh_island,5,0.593
wh_island,6,0.386
wh_island,7,0.351
wh_island,8,0.604
